Composition,ZT,Temperature ,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar
Yb0.19Co4Sb12,0.0385,50,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.0577,100,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.0962,150,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.1538,200,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.2115,250,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.3,300,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.3846,350,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.4615,400,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.5769,450,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
Yb0.19Co4Sb12,0.7115,500,3,0.781379712,0.750239122,0.741807309,0.741246677,0.741199526,45.29339098,43,9.039353172,70,27,51,77.78937616,46,10.68900384,85,39,85,106.8395948,114.120805,23.67209379,173.054,58.933195,121.76,1119.508338,864.22,320.4405987,1768,903.78,903.78,13.37677579,12,2.406261958,15,3,15,4.764669549,2,0.377847832,6,4,5,136.3514515,61,5.114985306,187,126,139,1.99872761,0.79,0.076006014,2.05,1.26,2.05,2,0,2.22E-16,2,2,2,2.223594812,3,1.150940366,3,0,3,9.141445337,10,1.272718463,10,0,10,0.16429895,14,0.324741594,14,0,0,13.5293391,7,2.238092204,16,9,15,0,0,0,0,0,0,2.223594812,3,1.150940366,3,0,3,0.741198271,3,1.116146624,3,0,0,0,0,0,0,0,0,2.964793082,3,0.069587484,3,0,3,26.32382952,23.875,7.94506709,34.12,10.245,31.56,0,0,0,0,0,0,0.382574725,1.5484712,0.576106967,1.5484712,0,0,173.6102532,59,11.28141308,225,166,166,0.147826881,0.164353543,0.675675676,0.012143901,0,0.144462198,0.00568115
